영화평점,영화감상평
10,어벤져스부터 완다라는 캐릭터가 쌓아온 서사가 폭발하는 느낌
4,"상상 이상으로 올드하고 루즈하고 난잡함. 개연성을 느낄수가 없음. 마블은 자기들 돈벌이와 편의성을 위해 아무거나 있어보이는 개념을 끌어오고 있음. 대중을 개돼지로 보는 셈. 시간과 돈 둘 다 아까운 영화. 과거의 영웅들에 대한 무시, PC까지 겹쳐진다는 점에서 우리의 추억조차 훼손함. 어디 OCN에서 무료로 틀어주면 아 마블 패러디 영화구나 하고 볼만할듯."
1,으으 씹노잼....디즈니 플러스로 보셈 걍
3,아 진짜 감독 개오바임;;음표에서 그 표정 나옴 ㄹㅇ;;
2,좀비영화 좋아하시면 추천
8,저는 감독이 바뀌면서 더 신선해지고 재밌었는데요! 좀 잔혹해지긴 했지만.. 몰입해서 잘 봤습니다.
10,"본 영화만 보고 매기고 싶은 평점은 9점, 개인적으로 마지막 쿠키 영상에서 느낀 흥분과 감격때문에 1점 더! 무엇보다 화려한 영상이 압권이다. 아이맥스 상영관 앞쪽에서 봤는데 현기증이 날 정도로 카메라 워킹이 화려하고 현란해서 살짝 멀미때문에 힘들 정도였다. 그런데 영화 내용과 잘 어우러져 최고의 영상을 만들어냈다. 그리고 멀티버스를 소재로 이야기를 아주 잘 만들었다. 멀티버스와 드림워킹이라니, 기가막히게 뛰어 난 정도의 상상력을 더한 것이 아님에도 멀티버스에 대해 아주 쉽게 접근할 수 있게 해주었다. 그리고 충분히 설득력 있는 멀티버스를 통한 완다의 회심과 서로 다른 멀티버스의 다양한 캐릭터 닥터스트레인지 등장. 이것만으로도 멀티버스 영화를 소재로 한 높은 수준의 이야기를 잘 만들어졌다고 본다. 그리고 쉽게 눈에 띄면서도 영화의 전반적인 스토리에 잘 어우러져 있는 샘 레이미의 독특한 연출. 이블데드 시리즈를 기억하고 있는 나에게는 너무나 자연스러웠다. 이 영화를 재미있게 보는 방법은 어쩔 수 없이 완다비전을 먼저 봐야하고 여기에 샘 레이미를 먼저 경험했어야 했다고 본다. 이 두 가지가 영화를 재미있게 보는 수레의 두 바퀴임에 틀림없다. 앞으로 흥미진진한 멀티버스의 세계가 무척 기대된다. 그리고 마지막에 내 가슴을 울린 마지막 쿠키 영상. 내가 좋아하는 이블데드의 주인공이 애쉬가 여기서는 손을 잃지 않고 악령으로 부터 해방되었네. 오랫동안 내 마음을 한 켠을 불편하게 했던 애쉬의 손이 잘 살아 있어서 참 좋다. ㅠㅠ"
8,블랙볼트 입을 순식간에 없애버릴정도의 스칼렛 위치 완다가 마법으로 빌빌거리는게 아쉬움. 그리고 닥터 스트레인지는 아가모토의 눈은 아꼈다가 엿바꿔먹을꺼여?
8,악당이 악한짓을 하는 동기부여도 공감안되고 멈춘 이유도 너무 꼬무룩함 cg는 굿
8,마블에 호러를 이렇게 녹여내다니역시 샘 레이미
2,별 기대 안하고 봤는데도 재미없음..
7,마블 시리즈의 세계관과 인간 서사가 완다한테 너무 잔인한거같다
4,디즈니플러스서 완다비전 안 보고 보면 뜬금없다는 생각 들 것 같다.그 외에도 흠….
7,"마블이 디씨한 느낌 영화배우들 연기+스토리라인은 짱짱하니 괜찮음연출이 ...ㅋㅋㅋ.ㅋ.ㅋㅋㅋ.ㅋ.ㅋ.ㅋㅋㅋ.ㅋㅋㅋㅋ.ㅋㅋㅋ.ㅋ.ㅋㅋㅋ.ㅋ.ㅋ.ㅋㅋㅋ.ㅋㅋㅋㅋ.ㅋㅋㅋ.ㅋ.ㅋㅋㅋ.ㅋ.ㅋ.ㅋㅋㅋ.ㅋㅋㅋㅋ.ㅋㅋㅋ.ㅋ.ㅋㅋㅋ.ㅋ.ㅋ.ㅋㅋㅋ.ㅋㅋㅋㅋ.ㅋㅋㅋ.ㅋ.ㅋㅋㅋ.ㅋ.ㅋ.ㅋㅋㅋ.ㅋㅋㅋㅋ.진짜 소리내서 못웃어가지고 웃음참다가 눈물고였음 ㅋㅋㅋ.ㅋ.ㅋㅋㅋ.ㅋ.ㅋ.ㅋㅋㅋ.ㅋㅋㅋㅋ.ㅋㅋㅋ.ㅋ.ㅋㅋㅋ.ㅋ.ㅋ.ㅋㅋㅋ.ㅋㅋㅋㅋ.ㅋㅋㅋ.ㅋ.ㅋㅋㅋ.ㅋ.ㅋ.ㅋㅋㅋ.ㅋㅋㅋㅋ.원래 코미디 좋아해서 기분좋게 봤지만원래 마블이 그런영화는 아니잖음...???CG도 1편에 비해서 엄청 퀄리티 낮아졌고, 정신없음ㅎㅎ.ㅎ.ㅎ음 마블이 디씨한 느낌.근데 디씨는 내용도 재미없는데마블은 내용이라도 재밌는 편ㅋㅋㅋ.ㅋ.ㅋㅋㅋ.ㅋ.ㅋ.ㅋㅋㅋ.ㅋㅋㅋㅋ.ㅋㅋㅋ.ㅋ.ㅋㅋㅋ.ㅋ.ㅋ.ㅋㅋㅋ.ㅋㅋㅋㅋ.3편 나올거면 감독 1편감독으로 바꾸거나 마블만의 느낌 살릴 수 있는 감독으로 다시 교체했으면뭐 이번편이야 생각치도 않게 내 사랑하는 코미디 장르가 생각나서 재밌게 넘어갔다지만3편마저 이러면 화날듯ㅋㅋㅋ.ㅋ.ㅋㅋㅋ.ㅋ.ㅋ.ㅋㅋㅋ.ㅋㅋㅋㅋ.ㅋㅋㅋ.ㅋ.ㅋㅋㅋ.ㅋ.ㅋ.ㅋㅋㅋ.ㅋㅋㅋㅋ.ㅋㅋㅋ.ㅋ.ㅋㅋㅋ.ㅋ.ㅋ.ㅋㅋㅋ.ㅋㅋㅋㅋ.ㅋㅋㅋ.ㅋ.ㅋㅋㅋ.ㅋ.ㅋ.ㅋㅋㅋ.ㅋㅋㅋㅋ.ㅋㅋㅋ.ㅋ.ㅋㅋㅋ.ㅋ.ㅋ.ㅋㅋㅋ.ㅋㅋㅋㅋ.ㅋㅋㅋ.ㅋ.ㅋㅋㅋ.ㅋ.ㅋ.ㅋㅋㅋ.ㅋㅋㅋㅋ.진짜 1편의 감동을 느끼려고 가지는마시고 마음을 너그럽게 열어둔채 보시겠다면 꽤 재밌는시간 보내실듯:-)"
10,재밌습니다!굿!!!
10,재밌음
10,옆자리 여자분이 새가슴이셨는지 계속 소스라치게 놀라서 의도치않게 4D관람하게됨놀래키는 장면이 몇 부분 있는데 저는 하나도 안놀랏습니다 사바사인듯 MCU 팬이엇어서 전 재밌게 봣습니다... 완다 넘 안쓰러웠음
10,스파이더맨보다 재밌음창의력 끝판왕
1,기대를 넘 많이 했던걸까...
4,악보 액션은 너무나 유치하고 중간중간 B급 공포영화를 보는 것 같았다.
10,아닠ㅋㅋ 윈터가 왜이렇게 쌘거야.ㅋ
4,"히어로물 + 코믹 + 공포 + 감동을 한꺼번에 잡으려다 개박살난 영화완다비전으로 스칼렛 위치라는 거대악을 빌드업 잘해놓고, 마블 유니버스에 끼워놓느라 집착쩌는 모성애를 가져서 파멸한 멍청이로 만들어버림앞으로도 스토리는 개연성 없이 퍼질러 놓고, 응 ! 멀티버스 였어 이럴까봐 걱정된다"
9,"MCU영화를 좋아하는 사람이라면 재밌게 볼 수 있는 내용. 다만, 일반 킬링타임용으로는 다소 어려울 수 있다고 생각함"
10,완다비전을 봐야 이해된다는 말에 완다비전 다 보고 영화를 봤습니다정말 완다비전을 안봤으면 이해 못할 뻔 했네요 안좋은 평점이 많아서 좀 걱정했는데 저는 아주 잼있게 봤습니다
7,완다비전은 꼭 먼저 보고 보세요!!
8,"제대로 즐기려면 디즈니+ 완다비전, 로키, 왓이프 요 3개 필수"
8,내가 선택하지 않은 삶에 아쉬워하거나 후회하지 말고 지금을 사는게 행복하다는걸 느낌. 그래서 완다는 불행했고 흑화가 됬나봄
10,엘리자베스 올슨 넘 매력적인 빌런으로 나와서 좋았네요
5,"완다막시모프 : 대환장의끔살스토리/완다막시모프 : 아들찾아멀티버스삼만리/왓,이프? : 더 무비"
8,"워낙 마블 영화를 좋아하는 입장에서 솔직히 닥.스를 조금 있다가 보려고 했는데 충동적으로 예매해서 봤는데...영화마니아입장에서 연출, 연기, 스토리, 영상미 모두 빼놓고 이야기 할 수 없는 작품이었습니다. 나중에 4d로 다시 보고 싶은 생각이 들었습니다."
1,"카마르 타지 전투, 시니터스 스트레인지 전투 보고 과거 인피니티워 전투력 가지던 닥스는 어디가고 저런 허접한 전투씬과 설정이라니"
8,"닥스 시그니처 OST의 부재와 다소 생경한 B급 감성의 카메라 연출이별로였지만, 연기와 스토리가 매우 만족스러웠음"
7,팝콘을 먹을 수 없다 소리를 줄여서 긴장감 줘서
6,B급 스릴러물을 보고나온 기분은 대체뭘까
10,스파이더맨보다 훨씬 재밌었음.
10,재미있는 봤습니다 강추!!
10,나는 재밌었다!!! 닥스짱
4,공포영화! 10점은 좀 심했다고 생각하는데.ㅋㅋ
6,아무리 피곤해도 그렇지 너무 재미없어서 계속 하품함 영상만 화려하다
4,점점 산으로 가는 마블~~
4,완다비전을 다시 보는게 나을듯 ..그리고 아이스크림 아자씨는 선넘었음
7,"Sam Raimi, are you happy?"
4,용두사미 액션
10,"완다비전을 보진 않았지만, 기존 마블팬이라면 어렵지 않게 잘 볼 수 있습니다. 완다의 이야기가 특히 흥미진진했고 닥터스트레인지는 다음이 또 기대되는 영화입니다. 쿠기영상 2개까지 놓치지마세요!!"
8,만족스럽긴 하지만 이왕만든거 완전 공포로 갔으면 어땠을까? 란 생각이 들어서 뭔가 아쉬운 마블영화..
10,애키우기가 이렇게 힘든건가...
8,영화관에서 보니 재미 있었음....중간에 깜짝 깜짝 놀란건... 안비밀
10,"재밌게봤는데, 평점이 왜 이모양이지"
10,"닥스 특유의 미러디멘션 같은 마법이 적어서 아쉬움. 완다 보려고 봤기 때문에 그냥 십점 드릴게요. 완다 행복해지는것까지 안바라고 숨이라도 트이게 해줘,,,"
10,잼났음~~~
10,"역시 샘레이미 감독이라 그런지 간만에 공포영화 보는 기분이었고 멀티버스가 주제(?)라 그런지 다양한 세계를 보는 재미도 있었습니다. 닥스에서 제일 기대했던 게 화려한 CG였는데, 눈 감는 시간조차 아까울 정도로 눈 호강한 기분이었어요. 심야라서 졸렸음에도 불구하고 ㅋㅋㅋ 그리고 프로페서X 외에 생각지도 못했던 등장인물들이 나왔던 것도 신선했고, 완다가 악역임에도 불구하고 너무 이뻤습니다! ㅋㅋㅋ"
10,정말 재밌었습니다. 스크린엑스로 보니 웅장함이 다르네요! 4D로 한번 더 볼 예정입니다. 왕추천!
10,진짜 기대 하나도 안하고 봤는데 인생영화라고 할정도로 너무 재밌었음. 올슨 연기 미쳤고 스토리도 너무 탄탄하고 영상미 OST 뭐하나 빠지는게 없었음.. 영화보면서 아 한번 더 보고싶다고 생각한적 없었는데 이건 ㄹㅇ 몇번 더 보고싶음 진짜 재밌었음
9,큰애와 같이 봤는데 동화같은 스토리 였습니다.^^ 나름의 재미가 솔솔합니다.
10,내용이 전체적으로 알차고 늘어지는 틈이 없었다 재밌어요
1,이거 재밌다는 사람들은 도대체 어떤 영화를 보고 살아온걸까? 이게 영화냐? 마블이름 안달고나왔으면 개욕처먹었을만한 수준인데 스토리 개연성 연출 음악 대사 전부 조잡하고 깊이감이라곤 찾아볼수 없는 유치한 수준을 넘어섰다
8,전반적으로 재미있었음 스트레인지 마법쓰는게 괴물손 이런거 나와서 다른 멀티버스 스트레인지 인가 했는데 스파이더맨 이야기 하는거보니 우리가 아는 스트레인지인듯 2점빼는건 그 여자주인공 돌고래 비명소리가 너무 듣기 싫었음 기합을 질러도 그러고 비명을 지르면 더 심하고 너무 찢어지는 비명소리라 진짜 듣기 싫더라구요 이건 개인적인 생각입니다...그런소리 못듣는 편이라...그리고 드디어 X맨 출연자 나왔던거도 보기 좋았어요 할배 많이 늙으셨지만 여전히 죽으시네요.... 언제즘 편안을 찾으실랑가...이러면 로건형이랑 데드풀도 출연함 해줬음 합니다~
10,무덤에서 좀비 손 올라와주는 호러감성에너무 좋아서 박수칠뻔 ㅎㅎㅎ 호러마블 분위기 제대로 잡은 듯 ^^
5,마블판 신파극 판타지 호러영화
10,"제대로 된 마블이 돌아왔어욬 닥스 팬이어서 오랫동안 기다렸는데 그만큼 실망 시키지 않네요 ㅠ 배우들의 연기랑 샘레이미 감독은 역시 끄덕이게 만듭니당. 닥스 지분이랑 다른 유니버스의 닥스 이야기가 더 있었으면 하는 아쉬움도 있지만 후반 마법사 닥스 존멋이었습니다, 그리고 세상 로맨티스트!!!!"
6,생각보다 노잼 기대가 너무 컸다ㅎ음표 뭐임... 절레절레
1,너무 아쉽습니다.실망입니다.
10,완다..가슴아프다 ㅠㅠ
7,"이제 마블은 그냥 보면 어느정도 재미있고,하나부터 열까지 다 챙겨보면 완전 극 존잼으로 가는 구나..?덕질하는 사람들이 어느정도 모였으니, 이제 본격적인 세계관을 펼치려는 듯.. 우리의 이야기를 모두 따라오려면 디플을 끊어라!! 라는 선전포고와도 같은 영화"
5,스토리는 볼만한데 pc떡칠이 살짝 보기안좋네요
9,멀티버스에 올라타도 운명은 크게 변하지 않는다는 걸 깨닫게 됨...
9,시도때도없는 액션 지루할틈이없음
6,영화보면서 자꾸만 사람들이 팝콘을 뿌려서 집중할 수가 없었다...공포영화냐?
10,이게 재미가없으면 대체 뭐가재밌는 영화냐???
10,아이맥스로 봤는데 역시 재밌습니다
10,그냥 내 마블 인생작.진짜 재밋서요..ㅠㅠ
6,그럭저럭 볼만했지만 만족하긴 힘들고 닥스2를 기대하고 봤지만 완다만 보이는 영화 닥스랑 완다 연기는 엄청 좋았음
10,베니랑 리지 연기 돌았다 쿠키 2개임 꼭 보세요ㅋㅋㅋ
10,완다 예뻐요 완다비전 보고 가세요
10,사전 리뷰보고가면 9점임
10,완다비전보고 가면 이해가 됩니다
8,역시 보게되면 후회는 안되는 마블
1,중간에 내리고 싶은 대혼돈의 마을버스
1,다 좋은데 왜 이딴 씩으로 연출 했을까? 진짜 B급 영화 연출 그 자체임 영화에 집중이 하나도 안되더라
6,"PC에 전염된 좀비가 있는지 영화 시작부터 끝까지 PC 떡칠입니다. 스페인어를 못 쓰는 백인을 매도하거나 엄마엄마로 구성된 부부 등 그저 자기들 사상을 여기저기서 강요하고, ""목적이 선하다면 과정은 불의 할 수 있다""는 본인들의 사상을 계속해서 강요하고 주입합니다."
5,스트렌지 1편을 두번 보는게 나을듯
8,"개연성이 조금 부족하다고 느꼈다 다 죽든말든 상관없다, 그 난리를 칠땐 언제고 마지막에 엥...??애들이 자신을 무서워한다는 이유로 일이 이렇게 술술 풀린다고?ㅋㅋ쿠키는 2갠데 엔딩크레딧 다 올라가고 마지막 쿠키는 진짜 기다린 시간이 아깝고 허무한 수준... 다음 영화의 스포가 조금 나올까싶어 안 가고 기다렸는데 웬 이런 4초짜리 허무한 영상이 나오는건지"
10,평점 보니까 그닥 그렇길래 아예 기대 안하고 갔는데 엄청 재밌음.. 영상미도 지림
8,닥터 스트레인지의 cg는 현대 미술을 보는 쾌감을 준다.
4,난 좀비영화인줄..캐미도 그닥 재미없고..스토리도.. 뜸금포?
10,완다 이쁨 완다 이쁨 완다 이쁜
8,샘레이미의 색깔이 진하게 묻어있는영화
2,역대급 영화 다신 보지말자
8,마블은 역시 마블이다
10,스토리 자체로는 그닥 특별하진 않았고 닥터스트레인지가 마법을 사용하는 cg(?) 자체로는 많이 유치했지만 카메라 무빙과 기법이 요즘은 볼 수 없는 신박한 연출들이었다고 생각합니다.
10,재밌어요~! 재밌어요~! 재밌어요~! 재밌어요~!
1,난 재밌었는데 <- 전체적으로 재미없는거 인정하지만 마블이니깐 일단 재밌다고 해!!
10,배우들 연기도 너무 좋고 미술적인 감각도 경이롭고 템포도 저한테 딱이고 무엇보다 마블이고ㅋㅋ다 좋았습니다. 간만에 잼나게 본 영화임
10,역시 마블!! 눈이 재밌고 스토리도 좋고 잘봤네요.
9,시작부터 끝까지가 다 싸움임 굿굿 재밌음 약간 호러몰임
10,닥터스트레인지 이야기가 더 나왔으면 좋았을텐데 조금 아쉬웠습니다 그래도 재밌게 봤어요
4,음표공격에서 뇌절할뻔
10,마블이 점점 심오해져요많은 이야기를 담고 있어서 좋네요생각을 하면 할수록 마블에서 사용하는 담론들이 굉장히 시대적이면서도 앞선 내용들인 거 같아요
10,휼륭합니다 ㆍ기대만큼 재미있었습니나.
4,꿀잠자다가 중간에 나왔음
10,좀비스런거 빼면 굿 역시 마블
10,평점 왜이러지? 존잼이던데 ㅋㅋ
8,완다비전 시청 전 : ?완다비전 시청 후 : !
10,러닝타임 질질 안 끌고 시원시원하게 전개되서 좋았다.
2,걍 한마디로 요약하자면….정신없음
4,닥터모차르트 : 대혼돈의 음표버스
10,예고편 보고 판단 했던 장면이 반전미로 다가왔다!!완다 파괴력 미쳤고 공포스러움도 맘에 들어~꼭 봐라 진짜!!
2,CG도배 영화 같았어요
7,영상미는 닥스 특성답게 상당했는데 아무리 히어로 무비에서 스토리는 잠시 접어두는 부분입니다만 개연성도 난감하고 영화가 스토리 진행을 제게 강요하는 느낌이였습니다.. 완다에 대한 측은함으로 시작해서 공감으로 끝나버린 영화
10,개꿀잼 재미 없어 보였는데 꼭 보세요
2,엔드게임이후 스파이더맨만 살아남은듯
10,마블 오랜만이고 개인적으로 너무 재밌었음
10,닥터스트레인지에 왓다가 나온거 자체로도기본 볼거리는 깔고 간거 같네요그외 마블 특유의 판타지와 세계관이 잘 어우러진듯...마블 시리즈를 안본 분들이라면 좀 혼돈은있을듯ㅎ
6,초반에 흡입력 있었고 중바부터 대혼돈이 시작되더니 나중에는 갸우뚱 ㅋ
5,확실히 1보단 별로였어요
6,"재미가 없진 않지만, 스토리와 연출이샘레이미의 영화일뿐닥터스트레인지 영화같지않은...오마쥬와 클리셰적인걸 꼭 그렇게나 많이 넣었어야했을까..링, 사이코, 좀비오등등...샘레이미의 B급 감성을 싫어하진 않지만,닥터와 어울리지 않을뿐 ..조금더 닥터 스트레인지 다운 영화로마블 세계관 이용을 더 했으면 좋았을듯...닥터와 샘레이미는 어울리지않는...아쉽다...."
9,마블의 주는 딱 그정도의 영화 ㅋ
2,역대급으로 유치하고 감동없고 재미없다
10,관람평 안보고가시는걸 추천 그냥 재미있어요
1,1점도 아깝다 일루미나티 선전영화
8,연출 연기 영상미 당연히 ok! 전 이렇게 생각해요!! 향후 마블의 미래 발판을 이 영화를 담아뒀다 생각해요마치 아이언맨2 같은 느낌(?)
2,호러 본거 같은 느낌.. 12세가 맞나??
10,"완다 때문에 두번 봄 ㅠㅠㅠ 2D, 3D"
10,영상 퀄리티도 좋고 재미있었다
10,다 좋고 재밌었지만 일루미나티 분량이 너무짧았던거같음
8,완다를 보고갔으면 더 재밌었겠다거의 컨저링인줄ㅋㅋㅋ 12세 공포영화다닥터스트레인지 시체 살아날때 기겁 으역시 상상을 뛰어넘는 마블닥스 1 봐야겠다
9,향후 마블의 방향성은 맘에 들지 않지만 유일하게 남을 닥터스트레인지는 욕하지 못하겠네요. 샘레이미 감독은 이번 영화로 참신함이 뭔지 보여준듯 합니다. 굿굿. 천진반 삼눈이 빼고 굿굿.
9,샘레이미가 만드니 이렇게 달라지네. 수많은 마블 영화중 몇안되는 수작
10,기대를 저버리지 않았음!
2,일반인은 봐도 무슨말인지 모를 듯. 닥터스트레인지 1이나 베놈1은 걍 일반인이 봐도 재밌었는데 이거는 거의 내용 절반은 못 알아 듣겠고 그래서 주인공들의 감정선을 못 따라가겠음. 마블시리즈 덕후 아니라 일반인이면 비추..
10,극장가를 뒤흔들만큼 대혼돈의 재미
2,공포영화처럼 만들어서 으스스하고 기분나빴음.마블영화보면서 이러기는 처음이네.아이들이 좀 무서워함.
10,2~3번 봐야할것 같지만 재밌었다!!ㅎㅎ
10,오이형도 완다짱도 모두 행복하길
4,"내가 원한것: 다크홀드때매 더욱 강력해진 완다의 흑마법과 닥터의 개간지 마법 배틀내가 본것: 완다: 히히 매직미사일, 닥터: 히히 음표발사한줄평: 이래도 디즈니플러스 구독안해? 독하다 독해"
10,"단순히 멋있는 히어로 영화가 좋았던 잼민이들이 성인이 돼가면서 더 마블에게 진심이 되고 특히 어벤져스 이후로 그 평가기준점이 조금 높아진 느낌이 드는 평점이다, 물론 완벽하진 않았음 연출이나 스토리 개연성이 별로긴 했지만 다른건 모르겠고 여태 멀티버스 밑밥깔던게 이렇게 시각적으로 보여지는게 좋았음 + 완다,, 앞으로의 마블영화랑 닥터3을 위해선 거쳐가야할것같은 영화, 마블 팬 아니라면 볼 필요 없는 영화같고 마블 팬이라면 여러번 볼 필요도 없고 딱 한 번만 봐도 만족스러운 영화일듯"
10,몰입감 높고 재미있음.
1,"최악… 스토리 액션 사운드 연출 전부다 쓰레기같아요스토리 완다비전2라고 제목 바꾸는게 어떨런지?액션 진짜 허접한 와이어액션 둥둥 떠다니는게 와… 이게 요즘 영화인가 싶고 마법이라고 닥스는 톱날 말고는 기억도 안남 다른 마법사들은 화살,대포쓰고 완다는 어벤져스2 보다 마법수준이 떨어짐 타노스랑 1:1할 때 반만 해줘도 괜찮았을듯 맨날 매직미사일만… 에휴 사운드는 과하게 많이 깔아서 상황에 어울리지도 않고 집중안됨… 영화 분위기랑 어울리지 않는 공포연출 심지어 재대로 공포를 하던가 애매하게 공포를 넣으니 보기 민망한수준 그나마 완다라는 케릭터는 잘 표현한듯 성격같은 면에서"
10,액션도 좋고 스토리도 재미있었어요 보는것 추천합니다 닥터스트레인지 짱!
10,완다의 연기력이 너무 좋네요ㅎㅎ
7,CG를 갈아넣어서 만들었다 싶을 정도로 영상미가 화려했고 음악도 무척 좋았음. 처음에 몰입하기 힘들었지만 점점 캐릭터에 몰입하게 되고 재미를 느낌.하지만 마블 영화치고 굳이 왜 이장면에 호러를 넣었을까 싶은 장면들이 있고 스토리에 개연성이 좀 부족한 부분이 있는 것 같다.. 닥스1이 스토리 측면에서 더 쫀쫀했다고 생각될 정도로.
10,아 영화 보면서 더넌 볼때도 소리 안질렀는데 이영화 보면서 몇번이나 놀라서 소리를 질렀는지 ㅠㅠ 스릴러 영화 맞아요 쿠키2개 꼭 다 보세요 ㅋㅋㅋ
1,평점이 높아서 1점 준다. 기대 전혀 안하고 보면 볼만할듯
9,이제부터 촌스럽다 반대말은 샘레이미스럽다로 바꾸는 걸로 하자
10,멋진대사가 있었고 메세지가 있어요~그래서 좋았습니다^^
8,대혼동 이 왔던 닥터21보다 세련미가 덜한느낌이였어요
8,화려하고 다양한볼거리와 사운드...후반부에약간지루한감이있지만 블록버스터의진수를보여준영화...평점은8.0점주고싶다
8,이정도면 그냥저냥 괜찮았다
10,이젠 자기가 내용이해 안된다고 무작정 까는사람들 많네ㅋㅋㅋ
10,마블 역사상 가장 위대한 영화.
2,전 감독이 떠날 만 했을 연출과 스토리 진행.
8,엔드게임때보다 약해진줄 알았음 너무 싸움이 루즈하다해야하나.. 예산이 부족한느낌 그리고천진반 너무하다..ㅠ
10,연기 진짜 잘하고 존잼이었음
1,닥스2 라기보단 '차베즈와 완다' 라고하는게 맞는듯 닥스 퍼포먼스보다 차베즈와 완다가 훨 큼
10,완다 덕분에 공포 히어로 영화 느낌나서 더 좋았어요 그 슈퍼맨 아기가 나쁘게 크는 영화 보다 연출이 더 호러스러웠음
10,난 너무너무 재미있던데제2의 마블이 열린느낌
6,하아..베네딕트 컴버배치를 가지고..하아..말 그대로 대혼돈..
9,공포장르가 섞여서 공포영화 팬으로서 좋았다.
1,유치한 스토리 뻔한 결말.. 연출력도 실망
2,개노잼 아오 절대 개노잼
7,그냥그런영화..ㅋㅋ
10,1010101010
10,"와 샘레이미의 저 정서를 보라!!! 초반에 졸라 촌스러운 상업영화 클리셰로 비급 냄새 풀풀 풍자하더니, 뒤로 갈수록 감독의 개성은 물론 로우샷의 스타일과 장르적인 향수들로 가득한 씬들. 오랜 영화의 팬들은 그걸 눈치챌것이다!! 그리고 나는 드림워킹이랑 다크홀드 다룰때 왜 중화권의 강시영화에서 느꼈던 그 정말 요상한 미장센에 완전 기절하는줄 알았다!! 와 정말 최고다!!최고!! 마블유니버스 모든 영화 통틀어. 이렇게 자유로우면서 선을 지키고 그안에서 상업영화의 미덕을 챙기면서 동시에 자신만의 독특한 세계를 표현하며 지난 영화역사들에 대한 존경과 미래가 동시에 느껴지는 와 정말 급이 다른 영화였다!!! 최고다!!최고!!"
2,대혼돈이다 진짜...
10,와진짜 이걸왜 완다비전 안보고본거지 여러분 무조건 완다비전이라도 보고보세요 진짜 차원이 달라져요
6,음악으로 싸울때 좀 킹받았어요ㅋㅋㅋㅠ진짜 대혼돈 그자체..내 닥터스트레인지 돌려줘ㅠ
6,샘레이미 너 이세퀴...니영화 하고 싶으면 이블데드나 더 찍지..
10,완다비젼 꼭 보셔야 재미있어요
9,스토리는 모르겠고 연출 진짜 멋있어서 재밌게 봤습니다
10,그래도 이러나 저러나 마블은 마블
10,내 취향 개잼존잼핵잼 깜짝깜짝 놀람
6,점점 예습이 많이 필요한 마블 유니버스 어디까지 가려나
4,"그나마 배우 연기로 4점. 스토리가 좋은편도 아닌데 구리고 올드한 연출에 뭍혀버렸다. 3편이 언제 나올지는 모르겠지만, 감독은 무조건 바꾸길 바란다"
10,"마블시리즈는 언제 봐도 재미있어요. 제가 놓친 시리즈가 있어서 그런가 완다의 스토리는 이해가 안 됐지만, 영화를 보는 데는 무리가 없었습니다. 재미있게 잘 봤어요."
1,보지 마세요 보지 마세요 보지 마세요
10,아아아 역시 마블은 실망시키지 않는다너무나 재밋었습니다
10,평이 안좋아서 걱정했는데 남편이랑 너무 재미있게 보고 나왔네요! 다시 또 보고 싶어요!!!너무 흥미진진했어여!!!
6,마블영화중에 이렇게 보고 실망한 영화는 처음.. 뒤로 갈수록 유치함..
10,마블 영화 꼬박 꼬박 챙겨보면 재미 없을 수가 없는데 평점 신기함 진짜 개재밌음 쿠키 기다리는 시간에 영화 재밌다고 난리치느라 핸드폰 타임도 안 가짐
10,"모든 장르를 다 갖춘 영화ㅋㅋㅋ개인적으로 마블 영화 중 인피니티워 , 엔드게임을 이은 세번째로 재밌게 본 영화"
9,눈물은 하나도 안나고 공포영화인줄알았음. 초반은 지루한테 갈수록 연출이 살렸다고 봄. 배우들 연기도 뒤로 갈수록 좋아지는 것 같고. 엔딩 못살리는 영화 많은데 이건 뒤로갈수록 내용이 좋음. 한마디로 앞부분은 지루하고 기억도 안남
10,너무 재밌어요!!! 역시 닥터 스트레인지는 멋짐
10,저 진짜 기대 많이 했는데 실망이네요. 그냥 지금까지 봐왔던 마블영화가 아닌 샘레이미 감독영화…. 그리고 완다의 일루미나티 학살장면은 멀티버스라는 설정으로 인해 캐릭터가 가벼워지는 느낌이 들었습니다. 닥스 둘이서 음표 날리고 공격할때마자 악기소리나는거 진짜 당황스럽더라구요. 무슨 무협에 음파공 고수들 가야금 같은 현악기 무술대결하는줄그냥 괜찮았던거는드림워킹하다가 중간에 끊어져서. 완다와 다른세계완다가 겹치는 장면완다가 아들들에게 무서운 괴물 취급에 마상당하다고 체념하는 장면차베즈랑 닥스랑 차원이동하는 장면자비에교수와 판타스틱4 리처드 캡틴 카터 등장이정도?이거 외에는 진짜..왠만한 마블빠 아닌이상쉴드못쳐줍니다…무슨 공포영화도 아니고 마블영화 특유의 유머도 아닌 유머코드도 별로.. 디씨 영화 유머느낌.. 닥스 눈 cg도 허접함..저 진짜 솔직히 기대엄청 했는데 진짜 실망 ㅠㅠ
10,마블은 항상 두근두근 기대를 저버리지 않았어요 다음편이 기다려집니다
8,다 좋은데....딱히 떠오르는 전투씬이 없음...완다 닥스로 마법대전 기대했는데이렇게 전투씬 흐지부지하게 만들줄은...
1,개노잼 1시간 잠만 자다가 나옴
