분류,부정리뷰,cleaned_text,spell_check
부정,"OOO ㅋㅋ 영화가 공포물인데 12세 관람가라서 영화관에 어린애들 눈물바다,오열함이거 12세 관람가 설정한사람 ㄹㅇ 생각이 있는지 의문",OOO 영화가 공포물인데 12세 관람가라서 영화관에 어린애들 눈물바다 오열함이거 12세 관람가 설정한사람 생각이 있는지 의문,OOO 영화가 공포물인데 12세 관람가라서 영화관에 어린애들 눈물바다 오열함이 거 12세 관람가 설정한 사람 생각이 있는지 의문
부정,멀티버스가 아니라 스쿨버스,멀티버스가 아니라 스쿨버스,멀티버스가 아니라 스쿨버스
부정,디즈니가 약먹었나? 싶을정도의 영화작가 혼자 그래픽에 심취해서 편집팀이랑날뛰고 만든 마블 최악의 영화였네요... 개연성은 개나줘버리고 억지적인 흐름 방해 연출... 조연들의 연기부족 ... 진심 보는 동안 삐급인가 싶었는데....,디즈니가 약먹었나 싶을정도의 영화작가 혼자 그래픽에 심취해서 편집팀이랑날뛰고 만든 마블 최악의 영화였네요 개연성은 개나줘버리고 억지적인 흐름 방해 연출 조연들의 연기부족 진심 보는 동안 삐급인가 싶었는데,디즈니가 약 먹었나 싶을 정도의 영화작가 혼자 그래픽에 심취해서 편집팀이랑 날뛰고 만든 마블 최악의 영화였네요 개연성은 개나 줘버리고 억지적인 흐름 방해 연출 조연들의 연기 부족 진심 보는 동안 피급인가 싶었는데
부정,싸구려 B급 공포영화에 화려한 CG만 넣은 느낌,싸구려 B급 공포영화에 화려한 CG만 넣은 느낌,싸구려 B급 공포영화에 화려한 CG만 넣은 느낌
부정,중간에 나가고싶었음그냥,중간에 나가고싶었음그냥,중간에 나가고 싶었음 그냥
부정,노잼. 그냥 이제 마블영화는 만들지 말자. 아무리 돈벌기 영화라도 수준은 있어야지. 진짜 뭔 개연성도 없는 영화를 그냥 돈벌이로 만드는 이런짓은 영화산업에 재앙,노잼 그냥 이제 마블영화는 만들지 말자 아무리 돈벌기 영화라도 수준은 있어야지 진짜 뭔 개연성도 없는 영화를 그냥 돈벌이로 만드는 이런짓은 영화산업에 재앙,나 잼 그냥 이제 마블 영화는 만들지 말자 아무리 돈 벌기 영화라도 수준은 있어야지 진짜 뭔 개연성도 없는 영화를 그냥 돈벌이로 만드는 이런 짓은 영화산업에 재앙
부정,좀비분장 마이클젝슨 Thriller뮤비 수준..;스토리 별거없고 연출은 너무 유치해서3번정도는 눈 돌린듯..;,좀비분장 마이클젝슨 Thriller뮤비 수준 스토리 별거없고 연출은 너무 유치해서3번정도는 눈 돌린듯 ,좀비 분장 마이클 젝슨 Thriller 뮤비 수준 스토리 별거 없고 연출은 너무 유치해서 3번 정도는 눈 돌린 듯
부정,초반에는 두근두근했지만 스토리가 좀... 진부하달까...,초반에는 두근두근했지만 스토리가 좀 진부하달까,초반에는 두근두근했지만 스토리가 좀 진부하달까
부정,구려 완전 frog야 진짜 진심 ㄹㅇ로,구려 완전 frog야 진짜 진심 로,구려 완전 frog야 진짜 진심으로
부정,관객이 원하는 영화가 아닌 감독이 원하는 영화를 본느낌... 우리가 마블에서 원했던건 이게 아닌데.. 레이미 감독은 본인의 아집을 놓지 않았고 마블은 그 아성에 스트레인지를 테웠다. 소재와 다양성을 억지로 추가시키려 멀티버스를 설정하고... 솔직히 스파이더맨부터 해서 멀티버스.. 너무 어거지로 재미없다,관객이 원하는 영화가 아닌 감독이 원하는 영화를 본느낌 우리가 마블에서 원했던건 이게 아닌데 레이미 감독은 본인의 아집을 놓지 않았고 마블은 그 아성에 스트레인지를 테웠다 소재와 다양성을 억지로 추가시키려 멀티버스를 설정하고 솔직히 스파이더맨부터 해서 멀티버스 너무 어거지로 재미없다,관객이 원하는 영화가 아닌 감독이 원하는 영화를 본 느낌 우리가 마블에서 원했던 건 이게 아닌데 레이미 감독은 본인의 아집을 놓지 않았고 마블은 그 아성에 스트레인지를 태웠다 소재와 다양성을 억지로 추가시키려 멀티버스를 설정하고 솔직히 스파이더맨부터 해서 멀티버스 너무 억지로 재미없다
부정,"옛날 영화인줄 알았어요, 장면이 스위칭되는게 너무 올드하다고 느껴졌고 생략된 내용이 너무 많다고 생각돼요. 디즈니플러스를 꼭 보아야 볼수있는 영화를 만드는게 무슨의미가 있나..싶어요",옛날 영화인줄 알았어요 장면이 스위칭되는게 너무 올드하다고 느껴졌고 생략된 내용이 너무 많다고 생각돼요 디즈니플러스를 꼭 보아야 볼수있는 영화를 만드는게 무슨의미가 있나 싶어요,옛날 영화인 줄 알았어요 장면이 스위칭되는 게 너무 올드하다고 느껴졌고 생략된 내용이 너무 많다고 생각돼요 디즈니 플러스를 꼭 보아야 볼 수 있는 영화를 만드는 게 무슨 의미가 있나 싶어요
부정,마블망했노~마블영화는 스토리라인 하나하나 만들어가다가 어벤져스로 한번에 터뜨리는 재미에봤는데 이젠 막 싸지르고 어 멀티버스야~이래버리노,마블망했노 마블영화는 스토리라인 하나하나 만들어가다가 어벤져스로 한번에 터뜨리는 재미에봤는데 이젠 막 싸지르고 어 멀티버스야 이래버리노,마블 망했노 마블 영화는 스토리라인 하나하나 만들어가다가 어벤저스로 한 번에 터뜨리는 재미에 봤는데 이젠 막 싸지르고 어 멀티버스야 이래버리노
부정,좀 많이 유치하고 ....그랫습니다 .앞으로 닥터스트레인지 자체가 이렇게 흘러 갈까 무섭습니다 ㅠ,좀 많이 유치하고 그랫습니다 앞으로 닥터스트레인지 자체가 이렇게 흘러 갈까 무섭습니다 ,좀 많이 유치하고 그랬습니다 앞으로 닥터 스트레인지 자체가 이렇게 흘러갈까무섭습니다
부정,음표에서 뇌절왓음 이후에는 집중도 잘 안됨,음표에서 뇌절왓음 이후에는 집중도 잘 안됨,음표에서 뇌절왓음 이후에는 집중도 잘 안됨
부정,"전생에 마블 어벤져스와 어꺠를 나란히 했던 내가 이세계에선 싸구려 B급 호러영화 주인공?ㄹㅇ 연출, 카메라 각도, 모든것이 다 허접했다마블이라 그나마 이정도지 진심 어이가 없어서 영화 보는 내내 웃음만 나옴그 와중에 엄마 두명 집어넣고 부모님이라고 하는것도 어이가 없음마블은 요즘에 동성애를 안넣으면 작품을 못 만드냐ㅋㅋ",전생에 마블 어벤져스와 어꺠를 나란히 했던 내가 이세계에선 싸구려 B급 호러영화 주인공 연출 카메라 각도 모든것이 다 허접했다마블이라 그나마 이정도지 진심 어이가 없어서 영화 보는 내내 웃음만 나옴그 와중에 엄마 두명 집어넣고 부모님이라고 하는것도 어이가 없음마블은 요즘에 동성애를 안넣으면 작품을 못 만드냐 ,전생에 마블 어벤저스와 어깨를 나란히 했던 내가 이 세계에선 싸구려 B급 호러 영화 주인공 연출 카메라 각도 모든 것이 다 허접했다 마블이라 그나마 이 정도지 진심 어이가 없어서 영화 보는 내내 웃음만 나온 그 와중에 엄마 두 명 집어넣고 부모님이라고 하는 것도 어이가 없음 마블은 요즘에 동성애를 안 넣으면 작품을 못 만드냐 
부정,마법이나 많이 쓰지.. 뭔 스터리가 이렇게 말이많고 유치함,마법이나 많이 쓰지 뭔 스터리가 이렇게 말이많고 유치함,마법이나 많이 쓰지 뭔 스토리가 이렇게 말이 많고 유치함
부정,"상상 이상으로 올드하고 루즈하고 난잡함. 개연성을 느낄수가 없음. 마블은 자기들 돈벌이와 편의성을 위해 아무거나 있어보이는 개념을 끌어오고 있음. 대중을 개돼지로 보는 셈. 시간과 돈 둘 다 아까운 영화. 과거의 영웅들에 대한 무시, PC까지 겹쳐진다는 점에서 우리의 추억조차 훼손함. 어디 OCN에서 무료로 틀어주면 아 마블 패러디 영화구나 하고 볼만할듯.",상상 이상으로 올드하고 루즈하고 난잡함 개연성을 느낄수가 없음 마블은 자기들 돈벌이와 편의성을 위해 아무거나 있어보이는 개념을 끌어오고 있음 대중을 개돼지로 보는 셈 시간과 돈 둘 다 아까운 영화 과거의 영웅들에 대한 무시 PC까지 겹쳐진다는 점에서 우리의 추억조차 훼손함 어디 OCN에서 무료로 틀어주면 아 마블 패러디 영화구나 하고 볼만할듯,상상 이상으로 올드하고 로즈하고 난잡함 개연성을 느낄 수가 없음 마블은 자기들 돈벌이와 편의성을 위해 아무거나 있어 보이는 개념을 끌어오고 있음 대중을 개돼지로 보는 셈 시간과 돈 둘 다 아까운 영화 과거의 영웅들에 대한 무시 PC까지 겹쳐진다는 점에서 우리의 추억조차 훼손함 어디 OCN에서 무료로 틀어주면 아 마블 패러디 영화구나 하고 볼만할 듯
부정,으으 씹노잼....디즈니 플러스로 보셈 걍,으으 씹노잼 디즈니 플러스로 보셈 걍,으으 씹노 잼 디즈니 플러스로 보세요 그냥
부정,아 진짜 감독 개오바임;;음표에서 그 표정 나옴 ㄹㅇ;;,아 진짜 감독 개오바임 음표에서 그 표정 나옴 ,아 진짜 감독 개오 박임 음표에서 그 표정 나옴 
부정,좀비영화 좋아하시면 추천,좀비영화 좋아하시면 추천,좀비 영화 좋아하시면 추천
부정,별 기대 안하고 봤는데도 재미없음..,별 기대 안하고 봤는데도 재미없음,별 기대 안 하고 봤는데도 재미없음
부정,디즈니플러스서 완다비전 안 보고 보면 뜬금없다는 생각 들 것 같다.그 외에도 흠….,디즈니플러스서 완다비전 안 보고 보면 뜬금없다는 생각 들 것 같다 그 외에도 흠 ,디즈니플러스서 완다 비전 안 보고 보면 뜬금없다는 생각 들 것 같다 그 외에도 흠 
부정,기대를 넘 많이 했던걸까...,기대를 넘 많이 했던걸까,기대를 너무 많이 했던 걸까
부정,악보 액션은 너무나 유치하고 중간중간 B급 공포영화를 보는 것 같았다.,악보 액션은 너무나 유치하고 중간중간 B급 공포영화를 보는 것 같았다,악보 액션은 너무나 유치하고 중간중간 B급 공포영화를 보는 것 같았다
부정,"히어로물 + 코믹 + 공포 + 감동을 한꺼번에 잡으려다 개박살난 영화완다비전으로 스칼렛 위치라는 거대악을 빌드업 잘해놓고, 마블 유니버스에 끼워놓느라 집착쩌는 모성애를 가져서 파멸한 멍청이로 만들어버림앞으로도 스토리는 개연성 없이 퍼질러 놓고, 응 ! 멀티버스 였어 이럴까봐 걱정된다",히어로물 코믹 공포 감동을 한꺼번에 잡으려다 개박살난 영화완다비전으로 스칼렛 위치라는 거대악을 빌드업 잘해놓고 마블 유니버스에 끼워놓느라 집착쩌는 모성애를 가져서 파멸한 멍청이로 만들어버림앞으로도 스토리는 개연성 없이 퍼질러 놓고 응 멀티버스 였어 이럴까봐 걱정된다,히어로물 코믹 공포 감동을 한꺼번에 잡으려다 개박살난 영화 완다 비전으로 스칼렛 위치라는 거대 약을 빌드업 잘해놓고 마블 유니버스에 끼워놓느라 집착쩌는 모성애를 가져서 파멸한 멍청이로 만들어버림 앞으로도 스토리는 개연성 없이 퍼질러 놓고 응 멀티버스였어 이럴까 봐 걱정된다
부정,"완다막시모프 : 대환장의끔살스토리/완다막시모프 : 아들찾아멀티버스삼만리/왓,이프? : 더 무비",완다막시모프 대환장의끔살스토리 완다막시모프 아들찾아멀티버스삼만리 왓 이프 더 무비,완다 막시 모르 대환장의끔살스토리 완다 막시 모르 아들 찾아 멀티버스 삼만 리 왓 이프 더 무비
부정,"카마르 타지 전투, 시니터스 스트레인지 전투 보고 과거 인피니티워 전투력 가지던 닥스는 어디가고 저런 허접한 전투씬과 설정이라니",카마르 타지 전투 시니터스 스트레인지 전투 보고 과거 인피니티워 전투력 가지던 닥스는 어디가고 저런 허접한 전투씬과 설정이라니,카마라 타지 전투 시니어스 스트레인지 전투 보고 과거 인피니티 워 전투력 가지던 닥스는 어디 가고 저런 허접한 전투신과 설정이라니
부정,공포영화! 10점은 좀 심했다고 생각하는데.ㅋㅋ,공포영화 10점은 좀 심했다고 생각하는데 ,공포영화 10점은 좀 심했다고 생각하는데 
부정,점점 산으로 가는 마블~~,점점 산으로 가는 마블 ,점점 산으로 가는 마블 
부정,완다비전을 다시 보는게 나을듯 ..그리고 아이스크림 아자씨는 선넘었음,완다비전을 다시 보는게 나을듯 그리고 아이스크림 아자씨는 선넘었음,완다 비전을 다시 보는 게 나을 듯 그리고 아이스크림 아저씨는 선 넘었음
부정,용두사미 액션,용두사미 액션,용두사미 액션
부정,이거 재밌다는 사람들은 도대체 어떤 영화를 보고 살아온걸까? 이게 영화냐? 마블이름 안달고나왔으면 개욕처먹었을만한 수준인데 스토리 개연성 연출 음악 대사 전부 조잡하고 깊이감이라곤 찾아볼수 없는 유치한 수준을 넘어섰다,이거 재밌다는 사람들은 도대체 어떤 영화를 보고 살아온걸까 이게 영화냐 마블이름 안달고나왔으면 개욕처먹었을만한 수준인데 스토리 개연성 연출 음악 대사 전부 조잡하고 깊이감이라곤 찾아볼수 없는 유치한 수준을 넘어섰다,이거 재밌다는 사람들은 도대체 어떤 영화를 보고 살아온 걸까 이게 영화냐 마블 이름 안 달고 나왔으면 개욕 처먹었을만한 수준인데 스토리 개연성 연출 음악 대사 전부 조잡하고 깊이감이라곤 찾아볼 수 없는 유치한 수준을 넘어섰다
부정,마블판 신파극 판타지 호러영화,마블판 신파극 판타지 호러영화,마블 판 신파극 판타지 호러 영화
부정,너무 아쉽습니다.실망입니다.,너무 아쉽습니다 실망입니다,너무 아쉽습니다 실망입니다
부정,스토리는 볼만한데 pc떡칠이 살짝 보기안좋네요,스토리는 볼만한데 pc떡칠이 살짝 보기안좋네요,스토리는 볼만한데 pc 떡칠이 살짝 보기 안 좋네요
부정,중간에 내리고 싶은 대혼돈의 마을버스,중간에 내리고 싶은 대혼돈의 마을버스,중간에 내리고 싶은 대혼돈의 마을버스
부정,다 좋은데 왜 이딴 씩으로 연출 했을까? 진짜 B급 영화 연출 그 자체임 영화에 집중이 하나도 안되더라,다 좋은데 왜 이딴 씩으로 연출 했을까 진짜 B급 영화 연출 그 자체임 영화에 집중이 하나도 안되더라,다 좋은데 왜 이딴 식으로 연출했을까 진짜 B급 영화 연출 그 자체임 영화에 집중이 하나도 안되더라
부정,스트렌지 1편을 두번 보는게 나을듯,스트렌지 1편을 두번 보는게 나을듯,스트레인지 1편을 두 번 보는 게 나을 듯
부정,난 좀비영화인줄..캐미도 그닥 재미없고..스토리도.. 뜸금포?,난 좀비영화인줄 캐미도 그닥 재미없고 스토리도 뜸금포 ,난 좀비 영화인 줄 개미도 그다지 재미없고 스토리도 뜸은 포
부정,역대급 영화 다신 보지말자,역대급 영화 다신 보지말자,역대급 영화 다신 보지 말자
부정,난 재밌었는데 <- 전체적으로 재미없는거 인정하지만 마블이니깐 일단 재밌다고 해!!,난 재밌었는데 전체적으로 재미없는거 인정하지만 마블이니깐 일단 재밌다고 해 ,난 재밌었는데 전체적으로 재미없는 거 인정하지만 마블이니깐 일단 재밌다고 해 
부정,음표공격에서 뇌절할뻔,음표공격에서 뇌절할뻔,음표 공격에서 뇌 절할 뻔
부정,꿀잠자다가 중간에 나왔음,꿀잠자다가 중간에 나왔음,꿀 잠자다가 중간에 나왔음
부정,걍 한마디로 요약하자면….정신없음,걍 한마디로 요약하자면 정신없음,그냥 한마디로 요약하자면 정신없음
부정,닥터모차르트 : 대혼돈의 음표버스,닥터모차르트 대혼돈의 음표버스,닥터 모차르트 대혼돈의 음표 버스
부정,CG도배 영화 같았어요,CG도배 영화 같았어요,CG도 배 영화 같았어요
부정,엔드게임이후 스파이더맨만 살아남은듯,엔드게임이후 스파이더맨만 살아남은듯,엔드게임 이후 스파이더맨만 살아남은 듯
부정,확실히 1보단 별로였어요,확실히 1보단 별로였어요,확실히 1보단 별로였어요
부정,역대급으로 유치하고 감동없고 재미없다,역대급으로 유치하고 감동없고 재미없다,역대급으로 유치하고 감동 없고 재미없다
부정,1점도 아깝다 일루미나티 선전영화,1점도 아깝다 일루미나티 선전영화,1점도 아깝다 일루미나티 선전영화
부정,호러 본거 같은 느낌.. 12세가 맞나??,호러 본거 같은 느낌 12세가 맞나 ,호러 본거 같은 느낌 12세가 맞나 
부정,일반인은 봐도 무슨말인지 모를 듯. 닥터스트레인지 1이나 베놈1은 걍 일반인이 봐도 재밌었는데 이거는 거의 내용 절반은 못 알아 듣겠고 그래서 주인공들의 감정선을 못 따라가겠음. 마블시리즈 덕후 아니라 일반인이면 비추..,일반인은 봐도 무슨말인지 모를 듯 닥터스트레인지 1이나 베놈1은 걍 일반인이 봐도 재밌었는데 이거는 거의 내용 절반은 못 알아 듣겠고 그래서 주인공들의 감정선을 못 따라가겠음 마블시리즈 덕후 아니라 일반인이면 비추,일반인은 봐도 무슨 말인지 모를 듯 닥터 스트레인지 1이나 베놈 1은 그냥 일반인이 봐도 재밌었는데 이거는 거의 내용 절반은 못 알아듣겠고 그래서 주인공들의 감정선을 못 따라가겠음 마블 시리즈 덕후 아니라 일반인이면 비추
부정,공포영화처럼 만들어서 으스스하고 기분나빴음.마블영화보면서 이러기는 처음이네.아이들이 좀 무서워함.,공포영화처럼 만들어서 으스스하고 기분나빴음 마블영화보면서 이러기는 처음이네 아이들이 좀 무서워함,공포영화처럼 만들어서 으스스하고 기분 나빴음 마블 영화 보면서 이러기는 처음이네 아이들이 좀 무서워함
부정,"내가 원한것: 다크홀드때매 더욱 강력해진 완다의 흑마법과 닥터의 개간지 마법 배틀내가 본것: 완다: 히히 매직미사일, 닥터: 히히 음표발사한줄평: 이래도 디즈니플러스 구독안해? 독하다 독해",내가 원한것 다크홀드때매 더욱 강력해진 완다의 흑마법과 닥터의 개간지 마법 배틀내가 본것 완다 히히 매직미사일 닥터 히히 음표발사한줄평 이래도 디즈니플러스 구독안해 독하다 독해,내가 원한 것 다크 홀드 땜에 더욱 강력해진 완다의 흑마법과 닥터의 개간지 마법 배틀 내가 본 것 완다 히히 매직 미사일 닥터 히히 음표 발사한 줄 평 이래도 디즈니 플러스 구독 안 해 독하다 독해
부정,"최악… 스토리 액션 사운드 연출 전부다 쓰레기같아요스토리 완다비전2라고 제목 바꾸는게 어떨런지?액션 진짜 허접한 와이어액션 둥둥 떠다니는게 와… 이게 요즘 영화인가 싶고 마법이라고 닥스는 톱날 말고는 기억도 안남 다른 마법사들은 화살,대포쓰고 완다는 어벤져스2 보다 마법수준이 떨어짐 타노스랑 1:1할 때 반만 해줘도 괜찮았을듯 맨날 매직미사일만… 에휴 사운드는 과하게 많이 깔아서 상황에 어울리지도 않고 집중안됨… 영화 분위기랑 어울리지 않는 공포연출 심지어 재대로 공포를 하던가 애매하게 공포를 넣으니 보기 민망한수준 그나마 완다라는 케릭터는 잘 표현한듯 성격같은 면에서",최악 스토리 액션 사운드 연출 전부다 쓰레기같아요스토리 완다비전2라고 제목 바꾸는게 어떨런지 액션 진짜 허접한 와이어액션 둥둥 떠다니는게 와 이게 요즘 영화인가 싶고 마법이라고 닥스는 톱날 말고는 기억도 안남 다른 마법사들은 화살 대포쓰고 완다는 어벤져스2 보다 마법수준이 떨어짐 타노스랑 1 1할 때 반만 해줘도 괜찮았을듯 맨날 매직미사일만 에휴 사운드는 과하게 많이 깔아서 상황에 어울리지도 않고 집중안됨 영화 분위기랑 어울리지 않는 공포연출 심지어 재대로 공포를 하던가 애매하게 공포를 넣으니 보기 민망한수준 그나마 완다라는 케릭터는 잘 표현한듯 성격같은 면에서,최악 스토리 액션 사운드 연출 전부다 쓰레기 같아요 스토리 완다 비전 2라고 제목 바꾸는 게 어떨는지 액션 진짜 허접한 와이어 액션 둥둥 떠다니는 게 와 이게 요즘 영화인가 싶고 마법이라고 닥스는 톱날 말고는 기억도 안 남다른 마법사들은 화살 대포 쓰고 완다는 어벤저스 2 보다 마법수준이 떨어짐 타노스랑 1 1 할 때 반만 해줘도 괜찮았을 듯 맨날 매직 미사일만 어휴 사운드는 과하게 많이 깔아서 상황에 어울리지도 않고 집중 안 됨 영화 분위기랑 어울리지 않는 공포 연출 심지어 제대로 공포를 하던가 애매하게 공포를 넣으니 보기 민망한 수준 그나마 완다라는 캐릭터는 잘 표현한 듯 성격 같은 면에서
부정,평점이 높아서 1점 준다. 기대 전혀 안하고 보면 볼만할듯,평점이 높아서 1점 준다 기대 전혀 안하고 보면 볼만할듯,평점이 높아서 1점 준다 기대 전혀 안 하고 보면 볼만할 듯
부정,전 감독이 떠날 만 했을 연출과 스토리 진행.,전 감독이 떠날 만 했을 연출과 스토리 진행,전 감독이 떠날 만했을 연출과 스토리 진행
부정,닥스2 라기보단 '차베즈와 완다' 라고하는게 맞는듯 닥스 퍼포먼스보다 차베즈와 완다가 훨 큼,닥스2 라기보단 차베즈와 완다 라고하는게 맞는듯 닥스 퍼포먼스보다 차베즈와 완다가 훨 큼,닥스 2 라기보단 차베스와 완다 라고 하는 게 맞는 듯 닥스 퍼포먼스보다 차베스와 완다가 훨씬 큼
부정,유치한 스토리 뻔한 결말.. 연출력도 실망,유치한 스토리 뻔한 결말 연출력도 실망,유치한 스토리 뻔한 결말 연출력도 실망
부정,개노잼 아오 절대 개노잼,개노잼 아오 절대 개노잼,개나 잼 아오 절대 개나 잼
부정,대혼돈이다 진짜...,대혼돈이다 진짜,대혼돈이다 진짜
부정,"그나마 배우 연기로 4점. 스토리가 좋은편도 아닌데 구리고 올드한 연출에 뭍혀버렸다. 3편이 언제 나올지는 모르겠지만, 감독은 무조건 바꾸길 바란다",그나마 배우 연기로 4점 스토리가 좋은편도 아닌데 구리고 올드한 연출에 뭍혀버렸다 3편이 언제 나올지는 모르겠지만 감독은 무조건 바꾸길 바란다,그나마 배우 연기로 4점 스토리가 좋은 편도 아닌데 구리고 올드 한 연출에 묻혀버렸다 3편이 언제 나올지는 모르겠지만 감독은 무조건 바꾸길 바란다
부정,보지 마세요 보지 마세요 보지 마세요,보지 마세요 보지 마세요 보지 마세요,보지 마세요 보지 마세요 보지 마세요
부정,개노잼 1시간 잠만 자다가 나옴,개노잼 1시간 잠만 자다가 나옴,개나 잼 1시간 잠만 자다가 나옴
부정,미성년자들 따로 상영관 만들어야 될듯 영화보면서 이렇게 시끄러운거 처음임...공공장소 에티켓을 모르나 영화에 집중을 못하겠네,미성년자들 따로 상영관 만들어야 될듯 영화보면서 이렇게 시끄러운거 처음임 공공장소 에티켓을 모르나 영화에 집중을 못하겠네,미성년자들 따로 상영관 만들어야 될 듯 영화 보면서 이렇게 시끄러운 거 처음임 공공장소 에티켓을 모르나 영화에 집중을 못 하겠네
부정,진짜 오랜만에 영화관나들이라 좋았지 영화는참....왠만한마블영화보고 재미없다느낀건처음 음표날릴땐....진짜 이건아니다 생각함 ㅠㅠ,진짜 오랜만에 영화관나들이라 좋았지 영화는참 왠만한마블영화보고 재미없다느낀건처음 음표날릴땐 진짜 이건아니다 생각함 ,진짜 오랜만에 영화관 나들이라 좋았지 영화는 참 웬만한 마블 영화 보고 재미없다 느낀 건 처음 음표 날릴 땐 진짜 이건 아니다 생각함 
부정,기대를 많이 했는데 좀 아쉽다ㅜㅜ,기대를 많이 했는데 좀 아쉽다 ,기대를 많이 했는데 좀 아쉽다 
부정,꼬맹이들 연기 너무 오글거림 ..,꼬맹이들 연기 너무 오글거림,꼬맹이들 연기 너무 오글거림
부정,"PC주의로 점철된 마블 영화에서는 더이상 대중이 이해하고 공감할 수 있는 스토리를 보기 힘들게 되어버린 것 같다. 과거에 아이언맨이 가져온 마블이 지니고 있던 매력, 어딘가 있을법한 호소력있으며 매력적이었던 이야기들은 이번 페이즈4에 들어와 모두 사라졌다. 이번 닥터 스트레인지2는 마블의 흥행이 계속되지 못할 것이라는 걸 증명하는 영화가 될 것이다.1. 영화의 주인공이 닥터 스트레인지가 아닌 것만 같은 스토리 라인으로 인해 중구난방인 전체 플롯을 따라가기 힘들다. 완다비전2인가 싶을 정도로 완다 중심의 이야기이다. 그리고 새로운 여성 히어로는 과연 이번 영화에 필요한가 싶다.2. 완다비전의 70-80년대 스타일의 연출법은 그 나름대로 신선했으며 그렇게 기획한 의도가 있었다. 하지만 이번 영화의 공포스러운 장면에 비슷한 연출을 무리하게 남용하며 몰입도를 떨어뜨렸다.3. 이전의 닥터 스트레인지 영화에서 보여줬던마법의 연출 비중과 완성도가 떨어졌으며, 작중의 마법사란 캐릭터가 지닌 상징성이 안드로메다로 가버린 스토리로 인해 사라져버렸다.4. 영화 전체적으로 여성 히어로의 활약을 강조하기 위한 무리한 연출들로 인해 눈쌀을 찌푸리게 만든다. 개연성은 없고 오로지 디즈니가 믿는 왜곡된 사상을 달성하기 위해 몰아쳐가는 영화라고 할 수 있다.재촬영한 이유가 무엇인지 모르지만 닥터 스트레인지 1을 연출한 감독을 그냥 그대로 두는 것이 더 나았을 것 같다는 생각이 든다.",PC주의로 점철된 마블 영화에서는 더이상 대중이 이해하고 공감할 수 있는 스토리를 보기 힘들게 되어버린 것 같다 과거에 아이언맨이 가져온 마블이 지니고 있던 매력 어딘가 있을법한 호소력있으며 매력적이었던 이야기들은 이번 페이즈4에 들어와 모두 사라졌다 이번 닥터 스트레인지2는 마블의 흥행이 계속되지 못할 것이라는 걸 증명하는 영화가 될 것이다 1 영화의 주인공이 닥터 스트레인지가 아닌 것만 같은 스토리 라인으로 인해 중구난방인 전체 플롯을 따라가기 힘들다 완다비전2인가 싶을 정도로 완다 중심의 이야기이다 그리고 새로운 여성 히어로는 과연 이번 영화에 필요한가 싶다 2 완다비전의 70 80년대 스타일의 연출법은 그 나름대로 신선했으며 그렇게 기획한 의도가 있었다 하지만 이번 영화의 공포스러운 장면에 비슷한 연출을 무리하게 남용하며 몰입도를 떨어뜨렸다 3 이전의 닥터 스트레인지 영화에서 보여줬던마법의 연출 비중과 완성도가 떨어졌으며 작중의 마법사란 캐릭터가 지닌 상징성이 안드로메다로 가버린 스토리로 인해 사라져버렸다 4 영화 전체적으로 여성 히어로의 활약을 강조하기 위한 무리한 연출들로 인해 눈쌀을 찌푸리게 만든다 개연성은 없고 오로지 디즈니가 믿는 왜곡된 사상을 달성하기 위해 몰아쳐가는 영화라고 할 수 있다 재촬영한 이유가 무엇인지 모르지만 닥터 스트레인지 1을 연출한 감독을 그냥 그대로 두는 것이 더 나았을 것 같다는 생각이 든다,
부정,닥터는 미러 디멘션은 어디다 팔아버렸고 히어로 무비 보러 왔는데 공포영화이고 사실상 챠베즈 영화 닥스2는 아직 안나왔다.,닥터는 미러 디멘션은 어디다 팔아버렸고 히어로 무비 보러 왔는데 공포영화이고 사실상 챠베즈 영화 닥스2는 아직 안나왔다,닥터는 미러 디멘션은 어디다 팔아버렸고 히어로 무비 보러 왔는데 공포영화이고 사실상 챠베즈 영화 닥스 2는 아직 안 나왔다
부정,레이미 스타일은 히어로물엔 전혀 안 맞네요 스파이더맨에서의 닥스와 여기의 닥스는 다른 세계관인지.. 어벤져스 완다랑 여기 완다도 다른 세계관인지..,레이미 스타일은 히어로물엔 전혀 안 맞네요 스파이더맨에서의 닥스와 여기의 닥스는 다른 세계관인지 어벤져스 완다랑 여기 완다도 다른 세계관인지,레이미 스타일은 히어로물엔 전혀 안 맞네요 스파이더맨에서의 닥스와 여기의 닥스는 다른 세계관인지 어벤저스 완다랑 여기 완다도 다른 세계관인지
부정,최근들어 한두번이야지... 모든게 고갈되고 CG말고는 보여줄게 없는 미블이 이젠 기대도 안된다. 뻔한 영화에 PC 떡칠까지하는 디즈니는 어찌되려고 이러냐,최근들어 한두번이야지 모든게 고갈되고 CG말고는 보여줄게 없는 미블이 이젠 기대도 안된다 뻔한 영화에 PC 떡칠까지하는 디즈니는 어찌되려고 이러냐,최근 들어 한두 번이야 지 모든 게 고갈되고 CG 말고는 보여줄게 없는 마블이 이젠 기대도 안된다 뻔한 영화에 PC 떡칠까지 하는 디즈니는 어찌 되려고 이러냐
