분류,긍정리뷰,cleaned_text,spell_check
긍정,영상미 대박이에요 완다 연기 미쳤음 ㅜ,영상미 대박이에요 완다 연기 미쳤음 ,영상미 대박이에요 완다 연기 미쳤음 
긍정,1편도 명작이지만 2편도 개명작,1편도 명작이지만 2편도 개명작,1편도 명작이지만 2편도 개면 작
긍정,개인적으로 아름다웠던 연출과 연기로 인한평균적인 히어로 물보다 더 마음에 들었음,개인적으로 아름다웠던 연출과 연기로 인한평균적인 히어로 물보다 더 마음에 들었음,개인적으로 아름다웠던 연출과 연기로 인한 평균적인 히어로 물보다 더 마음에 들었음
긍정,마법사들 최고야 눈호강 감사합니다♡,마법사들 최고야 눈호강 감사합니다 ,마법사들 최고야 눈 호강 감사합니다 
긍정,샘 레이미가 만들어 낸 마블 세계는 확실히 다르네. 흑화하는 주인공들에 딱.,샘 레이미가 만들어 낸 마블 세계는 확실히 다르네 흑화하는 주인공들에 딱,샘 레이미가 만들어 낸 마블 세계는 확실히 다르네 흑화 하는 주인공들에 딱
긍정,믿고보는 마블. 재밌게 봤어요,믿고보는 마블 재밌게 봤어요,믿고 보는 마블 재밌게 봤어요
긍정,중간중간 소리랑 분장때문에 놀랬는데 더 놀란건 음표로 공격하면서 클래식이 중간중간 섞여서 나오는 전투장면이 젤 놀랬음,중간중간 소리랑 분장때문에 놀랬는데 더 놀란건 음표로 공격하면서 클래식이 중간중간 섞여서 나오는 전투장면이 젤 놀랬음,중간중간 소리랑 분장 때문에 놀랐는데 더 놀란건 음표로 공격하면서 클래식이 중간중간 섞여서 나오는 전투 장면이 젤 놀랬음
긍정,"모두가 듄이 재미없다고 했을 때 너무 재미있게봤던 일입니다 어벤져스는 재미를 몰랐지만 닥터스트레인지는 1,2 너무 재미있게 봤어요",모두가 듄이 재미없다고 했을 때 너무 재미있게봤던 일입니다 어벤져스는 재미를 몰랐지만 닥터스트레인지는 1 2 너무 재미있게 봤어요,모두가 듄이 재미없다고 했을 때 너무 재미있게 봤던 일입니다 어벤저스는 재미를 몰랐지만 닥터 스트레인지는 1 2 너무 재미있게 봤어요
긍정,재밌다... 근데 완다 역시 세계관 최강자,재밌다 근데 완다 역시 세계관 최강자,재밌다 근데 완다 역시 세계관 최강자
긍정,별점테러하는것들 민주당지지할듯ㅋㅋ,별점테러하는것들 민주당지지할듯 ,별점 테러하는 것들 민주당 지지할 듯
긍정,난 솔직히 감동 많이 먹음 그치만 약간 마블답지 않은 호러 느낌이 많이 남,난 솔직히 감동 많이 먹음 그치만 약간 마블답지 않은 호러 느낌이 많이 남,난 솔직히 감동 많이 먹음 그렇지만 약간 마블답지 않은 호러 느낌이 많이 남
긍정,역시 마블 최고.. 2시간 훌쩍 지나감,역시 마블 최고 2시간 훌쩍 지나감,역시 마블 최고 2시간 훌쩍 지나감
긍정,"역시 마블,,완다비전 먼저 보고 보세요 흡흑",역시 마블 완다비전 먼저 보고 보세요 흡흑,역시 마블 완다 비전 먼저 보고 보세요 흡흑
긍정,영화끝나고 많이 울었어요 ㅠㅠ그녀가 원한건 행복한 가정뿐이었는데..,영화끝나고 많이 울었어요 그녀가 원한건 행복한 가정뿐이었는데,영화 끝나고 많이 울었어요 그녀가 원한 건 행복한 가정뿐이었는데
긍정,공포물인거 생각안하고 봣다가 몇번이나 경기 일으킴,공포물인거 생각안하고 봣다가 몇번이나 경기 일으킴,공포물인 거 생각 안 하고 봤다가 몇 번이나 경기 일으킴
긍정,재미있는데 공포스럽 깜짝깜짝이야,재미있는데 공포스럽 깜짝깜짝이야,재미있는데 공포스럽 깜짝 깜짝이야
긍정,마블은 그냥 다 재밋음..,마블은 그냥 다 재밋음,마블은 그냥 다 재밌음
긍정,B급공포와 유머의 조화!,B급공포와 유머의 조화 ,B급 공포와 유머의 조화 
긍정,전 정말 재밌게보고왔습니다! 한번 또 볼거에요,전 정말 재밌게보고왔습니다 한번 또 볼거에요,전 정말 재밌게 보고 왔습니다 한번 또 볼 거예요
긍정,엑스맨 팬으로서 찰스 나올 때 좋았어요또 레이첼 맥아담스 존예..,엑스맨 팬으로서 찰스 나올 때 좋았어요또 레이첼 맥아담스 존예,엑스맨 팬으로서 찰스 나올 때 좋았어요 또 레이첼 매캐덤스 존 예
긍정,"완다와 닥스를 워낙 좋아하는데다가, 영화 너무 오랜만에 잼있게봐서 두 번 봤네요^^",완다와 닥스를 워낙 좋아하는데다가 영화 너무 오랜만에 잼있게봐서 두 번 봤네요 ,완다와 닥스를 워낙 좋아하는 데다가 영화 너무 오랜만에 재밌게 봐서 두 번 봤네요 
긍정,고생이 많은 닥터 스트레인지,고생이 많은 닥터 스트레인지,고생이 많은 닥터 스트레인지
긍정,난 너무 재밌게 봤다! 다음작도 기대~~~,난 너무 재밌게 봤다 다음작도 기대 ,난 너무 재밌게 봤다 다음 작도 기대 
긍정,"완다가 왜 저렇게 변했는지는 완다비전만 봐도 알수 있어요. 그리고 자꾸 pc하시는데 완다의 현실조작 능력과 정신 조종 능력 만큼은 스톤의 힘이나 신적인 힘이 아닌 단순히 초능력의 힘으로 상대할수 있는 정도가 아니에요. 판포와 엑스맨은 돌연변이, 초능력에 거의 모든걸 의존하지만 비브라늄은 어벤져스1에서 나왔다시피 힘을 흡수하는 성질이 있어, 캡아가 방패로 토르의 뮬디르를 막아내는 모습을 볼수 있습니다. 또한 캡마는 파워 스톤의 힘을 그대로 흡수하여, 에벤져스 3,4에서 본것과 같이 닥스와 아이언맨도 파워스톤의 힘에는 미러디멘션이 파괴되거나, 나노 슈트조차 파괴되는 모습을 볼수 있습니다. 물런, 마블이 갑작스럽게 많은 기존 캐릭터가 은퇴하며 너무나도 많은 신캐릭터가 생겨나면서 반감정이 드는건 사실이죠. 저도 굳이 이렇게 빠르게 세대교체를 했어야 했냐는 생각이 들긴하지만 그렇다고 우리가 너무 예민해진건 아닌가라는 생각을 해볼 필요는 있다는 생각이 듭니다. 기존 코믹스를 조금이라도 보신 분이거나 mcu를 그동안 지켜와보신 분들이라면 충분히 이해가 되실거라 생각합니다.",완다가 왜 저렇게 변했는지는 완다비전만 봐도 알수 있어요 그리고 자꾸 pc하시는데 완다의 현실조작 능력과 정신 조종 능력 만큼은 스톤의 힘이나 신적인 힘이 아닌 단순히 초능력의 힘으로 상대할수 있는 정도가 아니에요 판포와 엑스맨은 돌연변이 초능력에 거의 모든걸 의존하지만 비브라늄은 어벤져스1에서 나왔다시피 힘을 흡수하는 성질이 있어 캡아가 방패로 토르의 뮬디르를 막아내는 모습을 볼수 있습니다 또한 캡마는 파워 스톤의 힘을 그대로 흡수하여 에벤져스 3 4에서 본것과 같이 닥스와 아이언맨도 파워스톤의 힘에는 미러디멘션이 파괴되거나 나노 슈트조차 파괴되는 모습을 볼수 있습니다 물런 마블이 갑작스럽게 많은 기존 캐릭터가 은퇴하며 너무나도 많은 신캐릭터가 생겨나면서 반감정이 드는건 사실이죠 저도 굳이 이렇게 빠르게 세대교체를 했어야 했냐는 생각이 들긴하지만 그렇다고 우리가 너무 예민해진건 아닌가라는 생각을 해볼 필요는 있다는 생각이 듭니다 기존 코믹스를 조금이라도 보신 분이거나 mcu를 그동안 지켜와보신 분들이라면 충분히 이해가 되실거라 생각합니다,완다가 왜 저렇게 변했는지는 완다비전만 봐도 알수 있어요 그리고 자꾸 pc하시는데 완다의 현실조작 능력과 정신 조종 능력 만큼은 스톤의 힘이나 신적인 힘이 아닌 단순히 초능력의 힘으로 상대할수 있는 정도가 아니에요 판포와 엑스맨은 돌연변이 초능력에 거의 모든걸 의존하지만 비브라늄은 어벤져스1에서 나왔다시피 힘을 흡수하는 성질이 있어 캡아가 방패로 토르의 뮬디르를 막아내는 모습을 볼수 있습니다 또한 캡마는 파워 스톤의 힘을 그대로 흡수하여 에벤져스 3 4에서 본것과 같이 닥스와 아이언맨도 파워스톤의 힘에는 미러디멘션이 파괴되거나 나노 슈트조차 파괴되는 모습을 볼수 있습니다 물런 마블이 갑작스럽게 많은 기존 캐릭터가 은퇴하며 너무나도 많은 신캐릭터가 생겨나면서 반감정이 드는건 사실이죠 저도 굳이 이렇게 빠르게 세대교체를 했어야 했냐는 생각이 들긴하지만 그렇다고 우리가 너무 예민해진건 아닌가라는 생각을 해볼 필요는 있다는 생각이 듭니다 기존 코믹스를 조금이라도 보신 분이거나 mcu를 그동안 지켜와보신 분들이라면 충분히 이해가 되실거라 생각합니다
긍정,"완다비전, 로키를 본뒤 관람한 닥터스트레인2에게 평점 10점을 안줄수가 없다.",완다비전 로키를 본뒤 관람한 닥터스트레인2에게 평점 10점을 안줄수가 없다,완다 비전 로키를 본 뒤 관람한 닥터스 트레인 2에게 평점 10점을 안 줄 수가 없다
긍정,공포 연출 이런 거 때문에 혼란스럽다는데 저는 너무 재밌게 봤습니다 마블 액션도 좋았고 완다비전 때문에 다들 드라마 보고 가야하나 고민했다는데 요약본 보고 재밌게 봤어요 영화 너무 좋아요!,공포 연출 이런 거 때문에 혼란스럽다는데 저는 너무 재밌게 봤습니다 마블 액션도 좋았고 완다비전 때문에 다들 드라마 보고 가야하나 고민했다는데 요약본 보고 재밌게 봤어요 영화 너무 좋아요 ,공포 연출 이런 거 때문에 혼란스럽다는데 저는 너무 재밌게 봤습니다 마블 액션도 좋았고 완다 비전 때문에 다들 드라마 보고 가야 하나 고민했다는데 요약본 보고 재밌게 봤어요 영화 너무 좋아요 
긍정,너무 재밌어요역대급 마블영화였습니다.중간중간 샘레이미 감독의 공포감 조성이 역시 샘레이미 했습니다,너무 재밌어요역대급 마블영화였습니다 중간중간 샘레이미 감독의 공포감 조성이 역시 샘레이미 했습니다,너무 재밌어 요역 대급 마블 영화였습니다 중간중간 샘 레이미 감독의 공포감 조성이 역시 샘 레이미 했습니다
긍정,재밌다.. 호불호 있겠지만 평점 너무낮아 이상하다.. 짱짱한스토리 다음 마블이 더욱 기대된다,재밌다 호불호 있겠지만 평점 너무낮아 이상하다 짱짱한스토리 다음 마블이 더욱 기대된다,재밌다 호불호 있겠지만 평점 너무 낮아 이상하다 짱짱한 스토리 다음 마블이 더욱 기대된다
긍정,짱꿀잼티비대박음표도굿,짱꿀잼티비대박음표도굿,짱꿀잼티비대박음표도굿
긍정,청불이었음 어떤호러가 나왔을까 멀티버스와 샘레이미 최고의 조합이었다 ㅎㄷㄷ했던 마블호러쇼만끽하세요,청불이었음 어떤호러가 나왔을까 멀티버스와 샘레이미 최고의 조합이었다 했던 마블호러쇼만끽하세요,청불이었으면 어떤 호러 가 나왔을까 멀티버스와 샘 레이미 최고의 조합이었다 했던 마블 호러 쇼 만끽하세요
긍정,마블은 역시 믿고 보지만... 근데 왜 닥터스트레인지랑 완다 출연의 공포영화를 본거같지....,마블은 역시 믿고 보지만 근데 왜 닥터스트레인지랑 완다 출연의 공포영화를 본거같지,마블은 역시 믿고 보지만 근데 왜 닥터 스트레인지랑 완다 출연의 공포영화를 본 거 같지
긍정,재밌움!! 역시 샘레이미,재밌움 역시 샘레이미,재밌음 역시 샘 레이미
긍정,개찢었다 졸잼 미쳐써이건 봐야댐,개찢었다 졸잼 미쳐써이건 봐야댐,개 찢었다 졸잼 미쳐 써 이건 봐야 댐
긍정,타임킬링용으로 좋습니다 ㅎㅎ,타임킬링용으로 좋습니다 ,타임 킬링 욕으로 좋습니다 
긍정,cg도 좋았고 생각했던것보다 재밌었습니다ㅎ,cg도 좋았고 생각했던것보다 재밌었습니다 ,cg도 좋았고 생각했던 것보다 재밌었습니다 
긍정,내용 정말 충실함 마블팬은 보아야함 단.... 완다비전 유튜브에서라도 요약본 보고 볼것,내용 정말 충실함 마블팬은 보아야함 단 완다비전 유튜브에서라도 요약본 보고 볼것,내용 정말 충실함 마블 팬은 보아야 함 단 완다 비전 유튜브에서라도 요약본 보고 볼 것
긍정,"스릴러나 공포라고 홍보했었는데 그것보다는 코믹에 가깝고요. ㅇㅍ 싸움에서 저를 비롯해서 다들 웃겨서 피식했는데, 샘레이미 감독이 이 장면을 일부러 살짝 웃기게 잘 만든것 같습니다. 반전의 반전의 반전이어서 기대 완전 안하고 봤는데 너무 재밌었어여 97점!!",스릴러나 공포라고 홍보했었는데 그것보다는 코믹에 가깝고요 싸움에서 저를 비롯해서 다들 웃겨서 피식했는데 샘레이미 감독이 이 장면을 일부러 살짝 웃기게 잘 만든것 같습니다 반전의 반전의 반전이어서 기대 완전 안하고 봤는데 너무 재밌었어여 97점 ,스릴러나 공포라고 홍보했었는데 그것보다는 코믹에 가깝고요 싸움에서 저를 비롯해서 다들 웃겨서 피식했는데 샘 레이미 감독이 이 장면을 일부러 살짝 웃기게 잘 만든 것 같습니다 반전의 반전의 반전이어서 기대 완전 안 하고 봤는데 너무 재밌었어요 97점 
긍정,진짜 또 보고싶을만큼 이렇게 재밌는 영화 대박이다 너무 재밌어요 진짜 와 특히 멀티버스 이동항 때 대박이에요~!!! 마블 여태동안 이렇게 재밌는거 처음 보네 믿고 보게 되겠네요 앞으로 나오면 계속 볼 듯요~!!,진짜 또 보고싶을만큼 이렇게 재밌는 영화 대박이다 너무 재밌어요 진짜 와 특히 멀티버스 이동항 때 대박이에요 마블 여태동안 이렇게 재밌는거 처음 보네 믿고 보게 되겠네요 앞으로 나오면 계속 볼 듯요 ,진짜 또 보고 싶을 만큼 이렇게 재밌는 영화 대박이다 너무 재밌어요 진짜 와 특히 멀티버스 이동항 때 대박이에요 마블 여태 동안 이렇게 재밌는 거 처음 보네 믿고 보게 되겠네요 앞으로 나오면 계속 볼 듯요 
긍정,쏘쏘 그래두 재밌게 봤습니다,쏘쏘 그래두 재밌게 봤습니다,쏘 쏘 그래도 재밌게 봤습니다
긍정,솔직히 히어로영화로는 뭔가 뭔가인건 맞았지만 mcu측면에서 보면 납득감별개로 셈레이지 연출 약간 옛날분위기같았는데 그게 감독이 바란거면 납득감컴베비치랑 올슨 연기도 좋았고 마블 모르던 사람이 보면 지루했을것은 확실,솔직히 히어로영화로는 뭔가 뭔가인건 맞았지만 mcu측면에서 보면 납득감별개로 셈레이지 연출 약간 옛날분위기같았는데 그게 감독이 바란거면 납득감컴베비치랑 올슨 연기도 좋았고 마블 모르던 사람이 보면 지루했을것은 확실,솔직히 히어로 영화로는 뭔가 뭔가 인건 맞았지만 mcu 측면에서 보면 납득 감별 개론 셈 레이지 연출 약간 옛날 분위기 같았는데 그게 감독이 바란 거면 납득감컴베비치랑 올슨 연기도 좋았고 마블 모르던 사람이 보면 지루했을 것은 확실
긍정,역시 믿고보는 베네딕트,역시 믿고보는 베네딕트,역시 믿고 보는 베네딕트
긍정,나는 진짜 괜찮든데....??,나는 진짜 괜찮든데 ,나는 진짜 괜찮던데
긍정,완다는 언제쯤 행복해질까,완다는 언제쯤 행복해질까,완다는 언제쯤 행복해질까
긍정,재밌게봄 ㅋㅋ 보러가기 전에 유툽에서 드라마 내용같은 배경지식 한번 알고가야 재밌어여 ㅋㅋㅋ 음표는.... 유치하긴 함... 근데 토르영화들을 생각해봐여.. 얼마나 유치했는데 ㅋㅋ 보는 재미있고 연출도 넘 좋았음,재밌게봄 보러가기 전에 유툽에서 드라마 내용같은 배경지식 한번 알고가야 재밌어여 음표는 유치하긴 함 근데 토르영화들을 생각해봐여 얼마나 유치했는데 보는 재미있고 연출도 넘 좋았음,재밌게 봄 보러 가기 전에 유튜브에서 드라마 내용 같은 배경지식 한번 알고 가야 재밌어요 음표는 유치하긴 함 근데 토르 영화들을 생각해봐요 얼마나 유치했는데 보는 재미 있고 연출도 너무 좋았음
긍정,오늘 마블 처음 봤는데 짱재밌음..,오늘 마블 처음 봤는데 짱재밌음,오늘 마블 처음 봤는데 정말 재밌음
긍정,아 너무 재밋음 완다 완다 완다 ㅠㅠ,아 너무 재밋음 완다 완다 완다 ,아 너무 재밌음 완다 완다 완다 
긍정,완다 안 죽었다고 믿는다 제발,완다 안 죽었다고 믿는다 제발,완다 안 죽었다고 믿는다 제발
긍정,최고다.!! 완다비전 안본사람들은 평점을 아얘 남기지 마시길.,최고다 완다비전 안본사람들은 평점을 아얘 남기지 마시길,최고다 완다 비전 안 본 사람들은 평점을 아예 남기지 마시길
긍정,개꿀잼 모두 명상하세요,개꿀잼 모두 명상하세요,개꿀 잼 모두 명상하세요
긍정,무조건 만점짜리 영화!! 최고입니다~~,무조건 만점짜리 영화 최고입니다 ,무조건 만 점짜리 영화 최고입니다 
긍정,영상미 ~~~ 대박~~~,영상미 대박 ,영상미 대박 
긍정,ㄹㅇ 개지리는 명작임 꼭 봐라, 개지리는 명작임 꼭 봐라, 개시리는 명작임 꼭 봐라
긍정,솔직히 이전 시리즈 거의 잊은채로 본건데 이해가 잘되었고 좀비물을 넣은것이 색다롭고 영상미 연기력 완벽한거 같다.어떻게 졸리다는 소리가 있지ㅋㅋ?본인들이 집중력이 낮은거 아닌지,솔직히 이전 시리즈 거의 잊은채로 본건데 이해가 잘되었고 좀비물을 넣은것이 색다롭고 영상미 연기력 완벽한거 같다 어떻게 졸리다는 소리가 있지 본인들이 집중력이 낮은거 아닌지,솔직히 이전 시리즈 거의 잊은 채로 본 건데 이해가 잘 되었고 좀비물을 넣은 것이 색다르고 영상미 연기력 완벽한 거 같다 어떻게 졸리다는 소리가 있지 본인들이 집중력이 낮은 거 아닌지
긍정,호러버전도 마블이 만들면 개지니밌음,호러버전도 마블이 만들면 개지니밌음,호러 버전도 마블이 만들면 개지니밌음
긍정,두번째 쿠키때문에 다음 마블영화가 너무 기다려져요 ㅜ,두번째 쿠키때문에 다음 마블영화가 너무 기다려져요 ,두 번째 쿠키 때문에 다음 마블 영화가 너무 기다려져요 
긍정,완다...행복하자....,완다 행복하자,완다 행복하자
긍정,믿고보는 마블 cg좋았어용,믿고보는 마블 cg좋았어용,믿고 보는 마블 cg 좋았어요
긍정,너무 재밌어서 두번 봤네요,너무 재밌어서 두번 봤네요,너무 재밌어서 두 번 봤네요
긍정,코로나 시국에 그래도 괜찮은영화가 나온거같아서 만족합니다!,코로나 시국에 그래도 괜찮은영화가 나온거같아서 만족합니다 ,코로나 시국에 그래도 괜찮은 영화가 나온 거 같아서 만족합니다 
긍정,너무 맘에듬,너무 맘에듬,너무 맘에 듦
긍정,평점믿지마시고보세요알고봐야지 모르고보면서 재미없다카누~,평점믿지마시고보세요알고봐야지 모르고보면서 재미없다카누 ,평점 믿지 마시고 보세요 알고 봐야지 모르고 보면서 재미없다 카누
긍정,그냥 미쳤다… 이 영화 만들려고 마블이 다크홀드 쓴 게 틀림 없다… 영혼을 갈아 넣었다…. 마지막 쿠키까지 완벽…,그냥 미쳤다 이 영화 만들려고 마블이 다크홀드 쓴 게 틀림 없다 영혼을 갈아 넣었다 마지막 쿠키까지 완벽 ,그냥 미쳤다 이 영화 만들려고 마블이 다크 홀드 쓴 게 틀림없다 영혼을 갈아 넣었다 마지막 쿠키까지 완벽 
긍정,마블의 세계관은 어디까지 확장하는걸까 앞으로가 기대됨,마블의 세계관은 어디까지 확장하는걸까 앞으로가 기대됨,마블의 세계관은 어디까지 확장하는 걸까 앞으로가 기대됨
긍정,평점 때문에 기대를 안하고 봐서인지 재밌게 봤네요.,평점 때문에 기대를 안하고 봐서인지 재밌게 봤네요,평점 때문에 기대를 안 하고 봐서인지 재밌게 봤네요
긍정,이 영화는 무조건 4d 로 봐야합니다,이 영화는 무조건 4d 로 봐야합니다,이 영화는 무조건 4d로 봐야 합니다
긍정,역시 이런 블록버스터 영화가 돈이 안 아깝다.영화도 차등제로 입장료 받아라.한국 영화는 3천원이 적당하다.,역시 이런 블록버스터 영화가 돈이 안 아깝다 영화도 차등제로 입장료 받아라 한국 영화는 3천원이 적당하다,역시 이런 블록버스터 영화가 돈이 안 아깝다 영화도 차등제로 입장료 받아라 한국 영화는 3천 원이 적당하다
긍정,너무 재밌었어요!!!!,너무 재밌었어요 ,너무 재밌었어요 
긍정,영상미는 끝내줘요약간 괴이한 장면 몇컷있네요,영상미는 끝내줘요약간 괴이한 장면 몇컷있네요,영상미는 끝내줘요 약간 괴이한 장면 몇 컷 있네요
긍정,그냥 보세요ㅋ 맘에 듬ㅋ,그냥 보세요 맘에 듬 ,그냥 보세요 맘에 듦
긍정,멀티버스 세계관읕 여기서 어떻게 더 잘 연출할 수 있을까? 완다비전을 보지 않으면 감정이입하기 어려운건 아쉽 ㅜㅜ,멀티버스 세계관읕 여기서 어떻게 더 잘 연출할 수 있을까 완다비전을 보지 않으면 감정이입하기 어려운건 아쉽 ,멀티버스 세계관읕 여기서 어떻게 더 잘 연출할 수 있을까 완다 비전을 보지 않으면 감정이입하기 어려운 건 아쉽
긍정,쿠키2번째꺼 꼭 봐야함!,쿠키2번째꺼 꼭 봐야함 ,쿠키 2번째 꺼 꼭 봐야 함
긍정,평점보고 재미없을줄 알았는데 재미있던데 이게 별로면 눈이 얼마 높은거..ㄷㄷ,평점보고 재미없을줄 알았는데 재미있던데 이게 별로면 눈이 얼마 높은거 ,평점 보고 재미없을 줄 알았는데 재미있던데 이게 별로면 눈이 얼마 높은 거
긍정,호불호는 있을 수 있겠지만 개인적으로는 최근 마블 영화 중에서는 스파이더맨 다음으로 볼만 했음,호불호는 있을 수 있겠지만 개인적으로는 최근 마블 영화 중에서는 스파이더맨 다음으로 볼만 했음,호불호는 있을 수 있겠지만 개인적으로는 최근 마블 영화 중에서는 스파이더맨 다음으로 볼만했음
긍정,정말 재밌습니당 강추!!,정말 재밌습니당 강추 ,정말 재밌습니다 강추 
긍정,완다 불쌍해서 엄청 울었음,완다 불쌍해서 엄청 울었음,완다 불쌍해서 엄청 울었음
긍정,일루미나티 애들 도륙나는거 보고 헛웃음 나옴ㅋㅋ완다랑 닥스 여친 넘 이쁘게나옴,일루미나티 애들 도륙나는거 보고 헛웃음 나옴 완다랑 닥스 여친 넘 이쁘게나옴,일루미나티 애들 도륙 나는 거 보고 헛웃음 나옴 완다랑 닥스 여자친구 너무 이쁘게 나옴
긍정,최고최고최고최고최고,최고최고최고최고최고,최고 최고 최고 최고 최고
긍정,연출이 미쳤다 개재밌음..,연출이 미쳤다 개재밌음,연출이 미쳤다 개 재밌음
긍정,다음 영화가 기대될 정도로 재밌네요,다음 영화가 기대될 정도로 재밌네요,다음 영화가 기대될 정도로 재밌네요
긍정,난 또볼껀데!! 행복하니?,난 또볼껀데 행복하니 ,난 또 볼 건데 행복하니 
긍정,마블영화보다 놀란의 배트맨을 좋아한다완다비전 스토리를 예습하고 기대안하고 봤는데 주제의식이나 스토리가 너무 좋았다사실 사랑과 행복에 대한 영화완다와 비교되는 닥스와 웡완다도 이해는 된다또 보고싶은 영화,마블영화보다 놀란의 배트맨을 좋아한다완다비전 스토리를 예습하고 기대안하고 봤는데 주제의식이나 스토리가 너무 좋았다사실 사랑과 행복에 대한 영화완다와 비교되는 닥스와 웡완다도 이해는 된다또 보고싶은 영화,마블 영화보다 놀란의 배트맨을 좋아한 다완 다비전 스토리를 예습하고 기대 안 하고 봤는데 주제의식이나 스토리가 너무 좋았다 사실 사랑과 행복에 대한 영화와는 다와 비교되는 닥스와 웡은 다도 이해는 된다도 보고 싶은 영화
긍정,ㅠㅠ 많은 컨텐츠를 보여주셔서 감사합니다. 덕후올림, 많은 컨텐츠를 보여주셔서 감사합니다 덕후올림, 많은 콘텐츠를 보여주셔서 감사합니다 덕후올림
긍정,배우들 연기는 진짜 믿고 봅니다.연출 탄탄하고 완다 디즈니 보신 분들눈물 쏟을 각오 하시고 보세요ㅠ닥터 스트레인지 다음 얘기도 얼른 보고싶어오,배우들 연기는 진짜 믿고 봅니다 연출 탄탄하고 완다 디즈니 보신 분들눈물 쏟을 각오 하시고 보세요 닥터 스트레인지 다음 얘기도 얼른 보고싶어오,배우들 연기는 진짜 믿고 봅니다 연출 탄탄하고 완다 디즈니 보신 분들 눈물 쏟을 각오하시고 보세요 닥터 스트레인지 다음 얘기도 얼른 보고 싶어온
긍정,나는 도대체 왜 이번영화 왜이렇게까지 욕먹는지 모르겠음 완다비전을 비롯한 마블 드라마랑 영화를 안보면 이해가 안될만 한 부분이 많았지만 n년차 마블 덕후라 영화랑 드라마 다 봐서 이해 안되는 부분도 없었고 cg도 미쳤고 완다 서사도 빌드업 너무 잘했고다만 진입장벽 높아진게 문제라면 문제지,나는 도대체 왜 이번영화 왜이렇게까지 욕먹는지 모르겠음 완다비전을 비롯한 마블 드라마랑 영화를 안보면 이해가 안될만 한 부분이 많았지만 n년차 마블 덕후라 영화랑 드라마 다 봐서 이해 안되는 부분도 없었고 cg도 미쳤고 완다 서사도 빌드업 너무 잘했고다만 진입장벽 높아진게 문제라면 문제지,나는 도대체 왜 이번 영화 왜 이렇게까지 욕먹는지 모르겠음 완다 비전을 비롯한 마블 드라마랑 영화를 안 보면 이해가 안 될만한 부분이 많았지만 n 연차 마블 덕후라 영화랑 드라마 다 봐서 이해 안 되는 부분도 없었고 cg도 미쳤고 완다 서사도 빌드업 너무 잘했고 다만 진입장벽 높아진 게 문제라면 문제지
긍정,"완다 행복하게 해주세요ㅜㅜㅠ 눈물,,",완다 행복하게 해주세요 눈물 ,완다 행복하게 해주세요 눈물 
긍정,진입장벽이 높아진게 확실히 보임 앞으로 설명만으로는 영화보는게 힘들거같음 꼭 마블영화나오기전 복습하고 가는게 좋을듯,진입장벽이 높아진게 확실히 보임 앞으로 설명만으로는 영화보는게 힘들거같음 꼭 마블영화나오기전 복습하고 가는게 좋을듯,진입장벽이 높아진 게 확실히 보임 앞으로 설명만으로는 영화 보는 게 힘들 거 같음 꼭 마블 영화 나오기 전 복습하고 가는 게 좋을 듯
긍정,나는 재미있던데…?ㅠㅠ 진입장벽과 난이도가 높아지는 건 손 좀 봐야될 거 같다…. 디즈니플러스를 모든 사람이 구독하는 것도 아니고….,나는 재미있던데 진입장벽과 난이도가 높아지는 건 손 좀 봐야될 거 같다 디즈니플러스를 모든 사람이 구독하는 것도 아니고 ,나는 재미있던데 진입장벽과 난이도가 높아지는 건 손 좀 봐야 될 거 같다 디즈니 플러스를 모든 사람이 구독하는 것도 아니고 
긍정,3d 로 봤는데 재밌었슴,3d 로 봤는데 재밌었슴,3d로 봤는데 재밌었음
긍정,기괴해서 재밌었음 ㅋㅋㅋㅋ,기괴해서 재밌었음 ,기괴해서 재밌었음 
긍정,"영상에 빠져든다. 역시 마블, 믿고본다.",영상에 빠져든다 역시 마블 믿고본다,영상에 빠져든다 역시 마블 믿고 본다
긍정,난 매우 재미있다고 생각했다,난 매우 재미있다고 생각했다,난 매우 재미있다고 생각했다
긍정,“내 인생 최고의 공포영화”, 내 인생 최고의 공포영화 , 내 인생 최고의 공포영화 
긍정,진짜 재미없다고 하는새기들 다걸러라 진짜 대작이고 너무재밌다. 알바아니고 ㄹㅇ 진짜 개재밌어서 오줌 마려운데 그자리에서 쌌다. 진짜개재밌다.,진짜 재미없다고 하는새기들 다걸러라 진짜 대작이고 너무재밌다 알바아니고 진짜 개재밌어서 오줌 마려운데 그자리에서 쌌다 진짜개재밌다,진짜 재미없다고 하는 새끼들 다 걸러라 진짜 대작이고 너무 재밌다 알 바 아니고 진짜 개 재밌어서 오줌 마려운데 그 자리에서 쌌다 진짜 개 재밌다
긍정,웅장한 분위기에서 내용이 감동적이기도 하고아슬아슬한 느낌이여서 재미있던것 같습니다,웅장한 분위기에서 내용이 감동적이기도 하고아슬아슬한 느낌이여서 재미있던것 같습니다,웅장한 분위기에서 내용이 감동적이기도 하고 아슬아슬한 느낌이어서 재미있던 것 같습니다
긍정,볼거리가 풍부해요 상상력의 향연~쫄보라 살짝쿵 무서웠어요 마블좋아하면 봐야죠,볼거리가 풍부해요 상상력의 향연 쫄보라 살짝쿵 무서웠어요 마블좋아하면 봐야죠,볼거리가 풍부해요 상상력의 향연 쫄보라 살짝궁 무서웠어요 마블 좋아하면 봐야죠
